year,quarter,date,newspapers,mood,detrending,val
1889,1,1889 Q1,all,negative,Hodrick-Prescott filter,101.56789250647137
1889,2,1889 Q2,all,negative,Hodrick-Prescott filter,100.98820515630327
1889,3,1889 Q3,all,negative,Hodrick-Prescott filter,100.54033968642
1889,4,1889 Q4,all,negative,Hodrick-Prescott filter,101.50911260850307
1890,1,1890 Q1,all,negative,Hodrick-Prescott filter,101.24417653500547
1890,2,1890 Q2,all,negative,Hodrick-Prescott filter,100.57125659063608
1890,3,1890 Q3,all,negative,Hodrick-Prescott filter,101.04602427391417
1890,4,1890 Q4,all,negative,Hodrick-Prescott filter,101.57862416844549
1891,1,1891 Q1,all,negative,Hodrick-Prescott filter,100.77110274065788
1891,2,1891 Q2,all,negative,Hodrick-Prescott filter,100.45329891742374
1891,3,1891 Q3,all,negative,Hodrick-Prescott filter,100.39587215122494
1891,4,1891 Q4,all,negative,Hodrick-Prescott filter,100.79978361131336
1892,1,1892 Q1,all,negative,Hodrick-Prescott filter,100.62339865146998
1892,2,1892 Q2,all,negative,Hodrick-Prescott filter,100.2434051806869
1892,3,1892 Q3,all,negative,Hodrick-Prescott filter,100.06753036226803
1892,4,1892 Q4,all,negative,Hodrick-Prescott filter,100.47933797462525
1893,1,1893 Q1,all,negative,Hodrick-Prescott filter,100.62187395740308
1893,2,1893 Q2,all,negative,Hodrick-Prescott filter,99.60439730586631
1893,3,1893 Q3,all,negative,Hodrick-Prescott filter,100.24478141196292
1893,4,1893 Q4,all,negative,Hodrick-Prescott filter,100.75688665781009
1894,1,1894 Q1,all,negative,Hodrick-Prescott filter,101.054782720384
1894,2,1894 Q2,all,negative,Hodrick-Prescott filter,100.05754932171455
1894,3,1894 Q3,all,negative,Hodrick-Prescott filter,100.04335068394808
1894,4,1894 Q4,all,negative,Hodrick-Prescott filter,99.84798401843688
1895,1,1895 Q1,all,negative,Hodrick-Prescott filter,99.7637599316499
1895,2,1895 Q2,all,negative,Hodrick-Prescott filter,99.76577396468112
1895,3,1895 Q3,all,negative,Hodrick-Prescott filter,99.21259975966008
1895,4,1895 Q4,all,negative,Hodrick-Prescott filter,99.33430586069056
1896,1,1896 Q1,all,negative,Hodrick-Prescott filter,99.12409764288509
1896,2,1896 Q2,all,negative,Hodrick-Prescott filter,98.8069365674485
1896,3,1896 Q3,all,negative,Hodrick-Prescott filter,99.07021483534712
1896,4,1896 Q4,all,negative,Hodrick-Prescott filter,99.24041133015193
1897,1,1897 Q1,all,negative,Hodrick-Prescott filter,98.85163847605341
1897,2,1897 Q2,all,negative,Hodrick-Prescott filter,99.4696647636352
1897,3,1897 Q3,all,negative,Hodrick-Prescott filter,98.66559180872429
1897,4,1897 Q4,all,negative,Hodrick-Prescott filter,99.10677566825142
1898,1,1898 Q1,all,negative,Hodrick-Prescott filter,99.00364911281021
1898,2,1898 Q2,all,negative,Hodrick-Prescott filter,99.33055098402897
1898,3,1898 Q3,all,negative,Hodrick-Prescott filter,99.32023175469186
1898,4,1898 Q4,all,negative,Hodrick-Prescott filter,99.08299329208988
1899,1,1899 Q1,all,negative,Hodrick-Prescott filter,98.70487410653875
1899,2,1899 Q2,all,negative,Hodrick-Prescott filter,98.61056439284742
1899,3,1899 Q3,all,negative,Hodrick-Prescott filter,99.13983527919032
1899,4,1899 Q4,all,negative,Hodrick-Prescott filter,99.45938227003735
1900,1,1900 Q1,all,negative,Hodrick-Prescott filter,101.44589926478623
1900,2,1900 Q2,all,negative,Hodrick-Prescott filter,100.27126749590768
1900,3,1900 Q3,all,negative,Hodrick-Prescott filter,99.95060919110117
1900,4,1900 Q4,all,negative,Hodrick-Prescott filter,99.76026478865671
1901,1,1901 Q1,all,negative,Hodrick-Prescott filter,100.63388578155083
1901,2,1901 Q2,all,negative,Hodrick-Prescott filter,100.9296261135759
1901,3,1901 Q3,all,negative,Hodrick-Prescott filter,100.28789695484865
1901,4,1901 Q4,all,negative,Hodrick-Prescott filter,99.70099839378277
1902,1,1902 Q1,all,negative,Hodrick-Prescott filter,99.85275370272008
1902,2,1902 Q2,all,negative,Hodrick-Prescott filter,99.2908869702624
1902,3,1902 Q3,all,negative,Hodrick-Prescott filter,99.39708439230853
1902,4,1902 Q4,all,negative,Hodrick-Prescott filter,99.45482063860506
1903,1,1903 Q1,all,negative,Hodrick-Prescott filter,99.19705257794018
1903,2,1903 Q2,all,negative,Hodrick-Prescott filter,100.03988132064788
1903,3,1903 Q3,all,negative,Hodrick-Prescott filter,99.49723251818413
1903,4,1903 Q4,all,negative,Hodrick-Prescott filter,99.35867330296074
1904,1,1904 Q1,all,negative,Hodrick-Prescott filter,100.20826477547696
1904,2,1904 Q2,all,negative,Hodrick-Prescott filter,99.60295455011048
1904,3,1904 Q3,all,negative,Hodrick-Prescott filter,99.8428278489968
1904,4,1904 Q4,all,negative,Hodrick-Prescott filter,99.24732614475667
1905,1,1905 Q1,all,negative,Hodrick-Prescott filter,100.10910002251076
1905,2,1905 Q2,all,negative,Hodrick-Prescott filter,99.53734450394394
1905,3,1905 Q3,all,negative,Hodrick-Prescott filter,99.03876255480063
1905,4,1905 Q4,all,negative,Hodrick-Prescott filter,99.22431504741296
1906,1,1906 Q1,all,negative,Hodrick-Prescott filter,99.87591397516299
1906,2,1906 Q2,all,negative,Hodrick-Prescott filter,100.04703438902219
1906,3,1906 Q3,all,negative,Hodrick-Prescott filter,99.85236304684123
1906,4,1906 Q4,all,negative,Hodrick-Prescott filter,99.07583088365728
1907,1,1907 Q1,all,negative,Hodrick-Prescott filter,99.59777913555078
1907,2,1907 Q2,all,negative,Hodrick-Prescott filter,98.96288693504519
1907,3,1907 Q3,all,negative,Hodrick-Prescott filter,99.47486761077403
1907,4,1907 Q4,all,negative,Hodrick-Prescott filter,99.52963715820216
1908,1,1908 Q1,all,negative,Hodrick-Prescott filter,99.93589689497233
1908,2,1908 Q2,all,negative,Hodrick-Prescott filter,99.42812258227035
1908,3,1908 Q3,all,negative,Hodrick-Prescott filter,99.22239396669724
1908,4,1908 Q4,all,negative,Hodrick-Prescott filter,99.81243809247248
1909,1,1909 Q1,all,negative,Hodrick-Prescott filter,100.18312325554521
1909,2,1909 Q2,all,negative,Hodrick-Prescott filter,100.30750878027531
1909,3,1909 Q3,all,negative,Hodrick-Prescott filter,99.99810070096319
1909,4,1909 Q4,all,negative,Hodrick-Prescott filter,99.26279874650268
